setpoint, RPS, adjust, acc_x, acc_y
0, 0.0, 0, -83.0, 12.2
0, 0.0, 0, -74.3, 23.9
0, 0.0, 0, -83.10, 14.6
0, 0.0, 0, -85.6, 12.7
0, 0.0, 0, -73.8, 21.5
0, 0.0, 0, -90.7, 20.0
0, 0.0, 0, -80.4, 20.5
0, 0.0, 0, -74.8, 23.9
0, 0.0, 0, -75.8, 17.1
0, 0.0, 0, -76.8, 24.9
0, 0.0, 0, -86.6, 22.9
0, 0.0, 0, -80.9, 13.7
0, 0.0, 0, -92.2, 15.1
0, 0.0, 0, -87.6, 13.2
0, 0.0, 0, -73.8, 16.6
0, 0.0, 0, -70.7, 24.9
0, 0.0, 0, -72.2, 9.3
0, 0.0, 0, -85.1, 21.10
0, 0.0, 0, -83.0, 3.9
0, 0.0, 0, -91.2, 15.6
0, 0.0, 0, -82.10, 11.2
0, 0.0, 0, -84.0, 5.4
0, 0.0, 0, -85.6, 16.6
0, 0.0, 0, -81.9, 20.5
0, 0.0, 0, -82.10, 10.3
0, 0.0, 0, -68.6, 6.3
0, 0.0, 0, -67.6, -2.6
0, 0.0, 0, -85.6, 16.6
0, 0.0, 0, -83.0, 20.5
0, 0.0, 0, -82.5, 14.6
0, 0.0, 0, -96.8, 25.9
0, 0.0, 0, -92.7, 8.8
0, 0.0, 0, -99.9, 20.0
0, 0.0, 0, -88.1, 17.6
0, 0.0, 0, -81.5, 15.1
0, 0.0, 0, -87.1, 19.5
0, 0.0, 0, -70.7, 24.4
0, 0.0, 0, -79.9, 19.0
0, 0.0, 0, -87.6, 10.7
0, 0.0, 0, -70.2, 21.10
0, 0.0, 0, -81.5, 19.0
9, 0.0, 9, -83.5, 4.9
9, 0.0, 9, -71.2, 9.8
9, 0.0, 9, -91.2, 7.8
9, 0.0, 9, -91.7, -45.1
9, 0.0, 9, 1039.1, 516.6
9, 0.0, 9, 915.0, -119.9
9, 1.3, 9, -79.4, -167.0
9, 1.3, 9, -647.5, 96.7
9, 1.3, 9, -273.6, 28.3
9, 1.3, 9, 87.4, -23.1
9, 1.3, 9, 748.0, -161.9
9, 2.7, 9, 789.1, -524.1
9, 2.7, 9, 488.8, 151.9
9, 4.0, 9, 475.6, -1595.8
9, 4.0, 9, 1645.5, -1999.0
9, 4.0, 9, -946.2, 831.5
9, 5.3, 9, 762.2, -95.8
9, 6.7, 9, 130.4, 1399.9
9, 6.7, 9, 872.6, -724.9
9, 6.7, 9, 654.3, -45.1
9, 8.0, 9, -381.2, -88.6
9, 8.0, 9, 725.1, -557.4
9, 6.7, 9, 1465.3, 938.5
9, 8.0, 9, 526.4, -368.8
9, 6.7, 9, 125.5, -91.2
9, 6.7, 9, -21.5, 435.5
9, 6.7, 9, -700.3, -131.2
9, 5.3, 9, -87.6, -1015.9
9, 5.3, 9, -1070.7, -871.9
9, 5.3, 9, -5.6, 466.3
9, 6.7, 9, -484.1, -925.2
9, 6.7, 9, 273.4, 19.0
9, 8.0, 9, -1566.6, -525.1
9, 8.0, 9, -237.2, -473.9
9, 9.3, 9, 83.0, -304.8
9, 10.7, 9, -1345.8, -80.9
9, 10.7, 9, -235.6, -208.0
9, 9.3, 9, 91.3, -202.4
9, 9.3, 9, -590.2, -431.4
9, 8.0, 9, 1132.8, -517.4
9, 8.0, 9, -715.2, -1411.9
9, 8.0, 9, -126.5, 416.5
9, 8.0, 9, 216.3, 841.3
9, 8.0, 9, 1092.8, -1092.7
9, 8.0, 9, 312.10, -956.9
9, 9.3, 9, 1296.4, 104.0
9, 10.7, 9, 596.7, 263.2
9, 12.0, 9, -1171.6, 930.2
9, 12.0, 9, 1735.8, -52.3
9, 10.7, 9, -181.4, -199.3
9, 9.3, 9, -388.8, 362.3
9, 10.7, 9, -1999.0, 1078.6
9, 10.7, 9, -75.3, 1322.3
9, 10.7, 9, -226.4, 1366.7
9, 10.7, 9, -221.3, -216.2
9, 10.7, 9, -667.5, -78.9
9, 10.7, 9, -548.2, -311.10
9, 12.0, 9, 674.3, -225.4
9, 13.3, 9, 591.3, 91.8
9, 10.7, 9, 53.2, -1043.5
9, 10.7, 9, -807.9, 816.9
9, 12.0, 9, 1834.10, -1738.2
9, 10.7, 9, -809.4, -405.2
9, 12.0, 9, 105.10, -509.7
9, 12.0, 9, -1245.4, 538.6
9, 12.0, 9, 409.2, -1379.6
9, 12.0, 9, 620.6, 478.5
9, 13.3, 9, 1704.1, 677.7
9, 12.0, 9, -58.9, -736.7
9, 12.0, 9, -1031.3, -216.7
9, 12.0, 9, 951.2, 980.10
9, 12.0, 9, -384.2, 1246.1
9, 12.0, 9, 267.6, -1578.9
9, 13.3, 9, 156.3, 258.3
9, 13.3, 9, -1533.3, -165.10
9, 13.3, 9, 1546.4, 321.3
9, 13.3, 9, 1418.5, 1311.0
9, 12.0, 9, -1259.7, 906.7
9, 13.3, 9, 1104.10, 36.1
9, 12.0, 9, -1125.0, -1999.0
9, 13.3, 9, -13.3, 279.3
9, 12.0, 9, 221.7, 342.3
9, 13.3, 9, -81.5, 360.4
9, 13.3, 9, 321.8, 907.2
9, 13.3, 9, -1999.0, 89.8
9, 13.3, 9, 129.4, 610.8
9, 13.3, 9, 1999.9, -171.6
9, 13.3, 9, 1635.7, 1661.6
9, 13.3, 9, -198.3, -559.4
9, 14.7, 9, 1908.7, -301.2
9, 13.3, 9, -590.7, 559.1
9, 13.3, 9, -366.3, 1039.1
9, 13.3, 9, -62.5, -1999.0
9, 14.7, 9, -499.10, -922.1
9, 14.7, 9, -514.4, 1765.6
9, 14.7, 9, 622.1, 688.5
9, 14.7, 9, 1901.4, 162.6
9, 13.3, 9, -526.1, -860.6
9, 14.7, 9, 479.0, 674.3
9, 13.3, 9, -1301.7, 33.7
9, 14.7, 9, 835.9, -1999.0
9, 14.7, 9, -1629.1, -13.8
9, 14.7, 9, -1999.0, -160.4
9, 14.7, 9, -874.10, 69.3
9, 14.7, 9, 855.10, -457.10
9, 14.7, 9, 1087.9, -1999.0
9, 13.3, 9, -86.1, -6.2
9, 14.7, 9, -1999.5, 367.7
9, 16.0, 9, -29.2, -1999.0
9, 14.7, 9, 532.2, -36.9
9, 14.7, 9, 949.7, -1999.0
9, 16.0, 9, 903.8, -1095.8
9, 14.7, 9, -247.9, 1261.7
9, 14.7, 9, -445.2, 191.4
9, 14.7, 9, 1999.9, -1166.5
9, 14.7, 9, 1829.6, -1999.0
9, 14.7, 9, 727.5, 1139.6
9, 16.0, 9, 248.0, -545.6
9, 16.0, 9, 246.6, -380.6
9, 14.7, 9, -1021.5, -1641.9
9, 14.7, 9, 1350.6, -485.2
9, 14.7, 9, -1051.7, 828.1
9, 16.0, 9, 1999.9, -6.2
9, 16.0, 9, -473.4, -320.2
9, 16.0, 9, -84.5, -140.4
9, 16.0, 9, -116.8, 729.10
9, 14.7, 9, 63.5, 256.3
9, 14.7, 9, 1939.9, -1999.0
9, 14.7, 9, -709.0, 1107.4
9, 16.0, 9, -863.7, -1743.3
9, 16.0, 9, 579.6, 1183.1
9, 16.0, 9, 809.1, -1399.6
9, 16.0, 9, -1332.5, 458.10
9, 14.7, 9, 1999.9, -1301.7
9, 14.7, 9, 1999.9, -1999.0
9, 16.0, 9, -397.5, 1078.1
9, 16.0, 9, -377.1, -1837.6
9, 16.0, 9, 490.7, -51.7
9, 16.0, 9, 408.7, 911.1
9, 17.3, 9, -625.5, 861.3
0, 16.0, -29, 1432.1, -764.8
0, 14.7, -27, 728.5, -1999.0
0, 16.0, -30, -1999.0, 1999.9
0, 16.0, -30, -1999.0, 626.10
0, 17.3, -30, -41.5, -911.9
0, 17.3, -30, 132.8, -446.7
0, 16.0, -30, 937.0, 447.8
0, 14.7, -30, 524.4, -296.1
0, 13.3, -28, -191.1, 1692.9
0, 14.7, -30, -1328.4, -886.3
0, 13.3, -29, 882.8, 1697.8
0, 12.0, -27, 72.3, -377.1
0, 10.7, -24, 764.2, 275.4
0, 9.3, -22, -1999.0, -1853.10
0, 9.3, -23, -1187.5, -601.4
0, 8.0, -20, -1212.6, -1329.9
0, 9.3, -23, 73.2, -223.4
0, 9.3, -23, -1824.8, 75.7
0, 9.3, -24, 407.7, 475.6
0, 8.0, -22, 1069.8, 843.7
0, 8.0, -22, -1326.3, -1.0
0, 6.7, -20, 673.8, 106.4
0, 5.3, -17, 452.6, -18.9
0, 6.7, -20, -221.3, -148.1
0, 6.7, -20, -374.10, 1666.0
0, 6.7, -20, -1168.1, 94.7
0, 6.7, -21, 397.9, 564.9
0, 8.0, -23, 151.9, 0.10
0, 8.0, -23, -1458.0, -183.4
0, 9.3, -26, -1881.2, -175.7
0, 9.3, -26, -555.3, -153.7
0, 9.3, -27, -1062.0, 158.7
0, 8.0, -24, -822.2, 55.2
0, 6.7, -22, -528.7, 346.2
0, 6.7, -22, -442.1, 267.1
0, 5.3, -20, -646.5, 33.2
0, 4.0, -18, -497.9, -96.3
0, 2.7, -16, -629.1, -34.3
0, 2.7, -16, -719.3, 74.7
0, 1.3, -13, -631.2, -50.7
0, 1.3, -13, -592.7, -36.4
