setpoint, RPS, adjust, acc_x, acc_y
0, 0.0, 0, -89.6, 18.1
0, 0.0, 0, -91.2, 13.2
0, 0.0, 0, -96.3, 8.8
0, 0.0, 0, -108.6, 12.7
0, 0.0, 0, -94.8, 10.7
0, 0.0, 0, -111.2, -1.5
0, 0.0, 0, -90.7, 19.5
0, 0.0, 0, -83.0, 1.5
0, 0.0, 0, -78.9, 13.7
0, 0.0, 0, -97.3, -3.6
0, 0.0, 0, -110.6, 15.6
0, 0.0, 0, -93.7, 15.1
0, 0.0, 0, -86.6, -3.1
0, 0.0, 0, -83.5, 0.10
0, 0.0, 0, -89.2, 10.7
0, 0.0, 0, -94.8, 10.3
0, 0.0, 0, -96.8, 0.0
0, 0.0, 0, -87.6, 11.7
0, 0.0, 0, -99.9, 10.7
0, 0.0, 0, -83.0, 7.3
0, 0.0, 0, -93.3, 3.4
0, 0.0, 0, -83.5, 0.0
0, 0.0, 0, -97.8, 4.9
0, 0.0, 0, -101.4, 3.4
0, 0.0, 0, -104.0, 0.0
0, 0.0, 0, -89.6, 9.8
0, 0.0, 0, -101.9, 10.3
0, 0.0, 0, -87.1, 3.9
0, 0.0, 0, -101.9, 17.1
0, 0.0, 0, -98.9, 2.4
0, 0.0, 0, -96.8, 8.3
0, 0.0, 0, -88.1, 8.3
0, 0.0, 0, -96.8, 18.1
18, 0.0, 18, -91.2, 7.3
18, 0.0, 18, -108.6, 0.10
18, 0.0, 18, -83.0, 18.1
18, 0.0, 18, 691.9, 734.4
18, 0.0, 18, 1999.9, 148.4
18, 1.3, 18, -561.10, 381.8
18, 2.7, 18, 345.7, 362.8
18, 5.3, 18, 1123.5, 1724.1
18, 8.0, 18, 318.8, -462.6
18, 10.7, 18, 204.1, 293.9
18, 13.3, 18, 1992.7, -1979.5
18, 14.7, 18, 1168.5, 1489.3
18, 18.7, 18, -228.5, 1039.6
18, 20.0, 18, 1999.9, -1999.0
18, 22.7, 18, 1210.9, -250.5
18, 21.3, 18, 533.7, 385.7
18, 22.7, 18, -1510.7, -373.10
18, 24.0, 18, 792.5, 794.9
18, 25.3, 18, -540.5, 1071.8
18, 25.3, 18, 232.9, -1825.3
18, 24.0, 18, 375.10, 556.6
18, 25.3, 18, 1160.2, 556.2
18, 25.3, 18, -511.3, -1999.0
18, 26.7, 18, -346.3, -1999.0
18, 25.3, 18, 1124.0, 184.6
18, 25.3, 18, 1999.9, -1105.0
18, 25.3, 18, 597.2, 1999.9
18, 26.7, 18, 1999.9, -807.9
18, 26.7, 18, 1037.1, -1999.0
18, 26.7, 18, 1999.9, 495.6
18, 26.7, 18, 272.9, -1200.8
18, 26.7, 18, 716.8, -289.4
18, 26.7, 18, -1999.0, 1930.2
18, 26.7, 18, -1999.0, 1079.6
18, 26.7, 18, -843.7, -841.7
18, 26.7, 18, 120.6, 1999.9
18, 26.7, 18, -1999.0, 387.2
18, 26.7, 18, 634.3, -4.1
18, 26.7, 18, 1999.9, 1201.7
18, 26.7, 18, 1151.9, 211.9
18, 26.7, 18, 1999.9, -298.2
18, 26.7, 18, 1059.6, 173.8
18, 26.7, 18, 179.2, -1092.7
18, 26.7, 18, -789.9, 1305.2
18, 26.7, 18, 395.5, 39.6
18, 26.7, 18, 1658.2, 445.8
18, 28.0, 18, -1991.8, 1563.10
18, 26.7, 18, -30.7, -1999.0
18, 28.0, 18, 884.3, 1278.3
18, 28.0, 18, 405.8, 884.8
18, 28.0, 18, -1999.0, 1999.9
18, 26.7, 18, -1999.0, -615.3
18, 29.3, 18, -1999.0, -149.1
18, 29.3, 18, -529.7, 1605.10
18, 28.0, 18, -1999.0, -1056.4
18, 28.0, 18, -242.3, 4.4
18, 28.0, 18, 1999.9, -190.6
18, 29.3, 18, -470.8, 253.9
18, 28.0, 18, -1999.0, -778.2
18, 29.3, 18, 741.2, -1745.9
18, 28.0, 18, 730.10, -689.1
18, 29.3, 18, 1999.9, -1999.0
18, 26.7, 18, 1391.1, -1367.3
18, 30.7, 18, -530.2, -1999.0
18, 30.7, 18, -742.8, 221.7
18, 29.3, 18, 462.9, -1390.4
18, 29.3, 18, -546.1, 31.7
18, 30.7, 18, 1650.4, 1418.9
18, 30.7, 18, -643.9, 1999.9
18, 26.7, 18, -163.9, -105.5
18, 29.3, 18, 1584.5, 1999.9
18, 29.3, 18, -1999.0, -319.7
18, 29.3, 18, 1138.2, -1999.0
18, 28.0, 18, -1238.7, -1148.1
18, 29.3, 18, 1999.9, 842.8
18, 30.7, 18, -1999.0, 1853.5
18, 28.0, 18, -1999.0, -346.8
18, 32.0, 18, 1743.2, -1999.0
18, 32.0, 18, 1871.6, -202.4
18, 30.7, 18, -792.0, -1457.10
18, 30.7, 18, 1999.9, -1074.3
18, 32.0, 18, 790.0, 478.5
18, 32.0, 18, -1999.0, 729.0
18, 30.7, 18, -1558.4, 1422.9
18, 33.3, 18, -927.8, 567.4
18, 33.3, 18, -1999.0, 1999.9
18, 30.7, 18, -1847.3, -1662.4
18, 30.7, 18, -1175.2, 114.3
0, 32.0, -30, -1946.7, -200.3
0, 30.7, -30, -806.4, 1885.3
0, 30.7, -30, -450.8, -1274.6
0, 32.0, -30, -593.7, 867.2
0, 32.0, -30, 1751.5, -1868.3
0, 29.3, -30, -1732.1, 1936.0
0, 32.0, -30, -1262.8, -407.8
0, 32.0, -30, -1999.0, 1999.9
0, 28.0, -30, -1694.7, 578.6
0, 26.7, -30, -1999.0, 1426.3
0, 22.7, -30, -1992.8, 1999.9
0, 20.0, -30, -1999.0, -140.4
0, 16.0, -30, -1999.0, 755.4
0, 13.3, -30, -1999.0, -766.9
0, 9.3, -28, -1999.0, 6.8
0, 5.3, -21, -1999.0, -466.7
0, 4.0, -19, -1999.0, -723.4
0, 2.7, -16, -1218.3, -381.7
0, 2.7, -16, -914.4, -409.8
0, 1.3, -14, -1126.0, 165.0
0, 1.3, -14, -898.1, 385.3
0, 1.3, -14, -955.4, 419.4
0, 2.7, -17, -1142.4, -147.1
0, 2.7, -17, -946.7, -116.3
0, 2.7, -17, -981.6, -141.9
0, 2.7, -17, -782.3, 47.4
0, 2.7, -17, -743.8, 83.10
0, 1.3, -15, -608.6, 106.4
0, 1.3, -15, -396.0, 52.2
0, 1.3, -15, -210.6, 0.10
0, 1.3, -15, -32.3, 0.10
0, 1.3, -15, 36.1, 27.3
0, 1.3, -15, 66.4, -35.8
0, 1.3, -15, 78.6, 0.5
0, 1.3, -15, 26.4, 11.7
0, 1.3, -15, -40.10, 0.5
0, 1.3, -15, -110.2, -30.2
0, 1.3, -15, -113.7, -16.4
0, 0.0, -13, -136.8, -45.1
0, 0.0, -13, -129.1, 0.0
0, 0.0, -13, -117.3, -10.3
0, 0.0, -13, -85.6, -11.8
0, 0.0, -13, -71.7, -13.3
0, 0.0, -13, -69.2, -23.6
