setpoint, RPS, adjust, acc_x, acc_y
IMU: 868.7, -1999.0
21, 29.3, 21
IMU: -616.3, 298.8
21, 30.7, 21
IMU: 249.10, -974.4
21, 32.0, 21
IMU: 1999.9, -1999.0
21, 29.3, 21
IMU: 1999.9, 1754.9
21, 30.7, 21
IMU: 645.0, -555.3
21, 34.7, 21
IMU: -867.8, -1999.0
21, 33.3, 21
IMU: 1999.9, -945.7
21, 33.3, 21
IMU: -167.5, -1336.6
0, 36.0, -30
IMU: 690.9, -1999.0
0, 33.3, -30
IMU: 1027.8, 1999.9
0, 34.7, -30
IMU: 1999.9, -202.9
0, 37.3, -30
IMU: -783.8, 1999.9
0, 34.7, -30
IMU: 1999.9, -1916.10
0, 34.7, -30
IMU: 1999.9, 1870.1
0, 36.0, -30
IMU: -1278.7, -1006.2
0, 32.0, -30
IMU: -1800.2, 1827.1
0, 29.3, -30
IMU: -1999.0, 1999.9
0, 29.3, -30
IMU: -1999.0, -1812.5
0, 24.0, -30
IMU: -1999.0, -959.0
0, 20.0, -30
IMU: -1621.9, 186.5
0, 17.3, -30
IMU: -1157.3, 795.9
0, 12.0, -30
IMU: -415.10, 288.1
0, 9.3, -29
IMU: -880.1, -480.5
0, 8.0, -27
IMU: -24.6, -1673.7
0, 6.7, -25
IMU: -1999.0, -110.6
0, 5.3, -22
IMU: -1762.3, -1221.3
0, 6.7, -25
IMU: 785.6, 460.4
0, 6.7, -25
IMU: -1125.5, -204.4
0, 6.7, -25
IMU: -613.7, 1037.1
0, 8.0, -28
IMU: -1138.8, 1062.10
0, 6.7, -26
IMU: -303.8, -145.5
0, 8.0, -28
IMU: -1093.3, 360.4
0, 6.7, -26
IMU: -1722.3, 779.8
0, 5.3, -24
IMU: -930.3, 512.2
0, 4.0, -22
IMU: -1385.7, 522.9
0, 2.7, -19
IMU: -1083.10, 376.5
0, 2.7, -19
IMU: -1227.5, 411.6
0, 1.3, -17
IMU: -950.3, 352.5
0, 1.3, -17
IMU: -847.3, 115.7
0, 0.0, -15
IMU: -553.8, -96.3
0, 0.0, -15
IMU: -629.6, -9.2
0, 0.0, -15
IMU: -89.6, 181.2
0, 0.0, -15
IMU: 23.9, 43.5
0, 0.0, -15
IMU: 86.4, 11.7
0, 0.0, -15
IMU: 135.3, -148.6
0, 0.0, -15
IMU: 144.5, -105.5
0, 0.0, -15
IMU: 86.9, -11.3
0, 0.0, -15
IMU: 33.2, -27.7
0, 0.0, -15
IMU: -55.3, 20.0
0, 0.0, -15
IMU: -137.3, -6.7
0, 0.0, -15
IMU: -177.3, 44.4
0, 0.0, -15
IMU: -169.6, 18.1
0, 0.0, -15
IMU: -126.5, -18.9
0, 0.0, -15
IMU: -105.0, 13.2
0, 0.0, -15
IMU: -94.8, 29.3
0, 0.0, -15
IMU: -56.8, 6.8
0, 0.0, -15
IMU: -61.5, -5.1
0, 0.0, -15
IMU: -73.8, -7.2
0, 0.0, -15
IMU: -96.8, 9.3
0, 0.0, -15
IMU: -87.1, 10.7
0, 0.0, -15
IMU: -105.0, -21.0
0, 0.0, -15
IMU: -92.2, -13.3
0, 0.0, -15
IMU: -88.1, 8.8
0, 0.0, -15
IMU: -96.8, 0.5
0, 0.0, -15
IMU: -96.3, 1.5
0, 0.0, -15
IMU: -96.8, 19.0
0, 0.0, -15
IMU: -73.3, 1.10
0, 0.0, -15
