setpoint, RPS, adjust, acc_x, acc_y
0, 0.0, 0, -90.7, 26.4
0, 0.0, 0, -73.3, 19.0
0, 0.0, 0, -74.8, 19.5
0, 0.0, 0, -85.1, 19.0
0, 0.0, 0, -68.2, 20.0
0, 0.0, 0, -93.7, 20.10
0, 0.0, 0, -90.2, 30.8
0, 0.0, 0, -78.9, 22.9
0, 0.0, 0, -83.0, 22.9
0, 0.0, 0, -78.4, 17.6
0, 0.0, 0, -79.4, 19.0
0, 0.0, 0, -68.2, 30.8
0, 0.0, 0, -90.2, 26.4
0, 0.0, 0, -75.8, 13.7
0, 0.0, 0, -76.8, 32.7
0, 0.0, 0, -79.4, 31.2
0, 0.0, 0, -91.7, 31.2
0, 0.0, 0, -72.7, 21.5
0, 0.0, 0, -82.5, 19.5
0, 0.0, 0, -76.3, 25.9
0, 0.0, 0, -83.0, 24.9
0, 0.0, 0, -73.3, 28.8
0, 0.0, 0, -76.8, 35.2
0, 0.0, 0, -82.10, 24.4
15, 0.0, 15, -69.7, 22.9
15, 0.0, 15, -66.6, 35.2
15, 0.0, 15, -177.3, 79.6
15, 0.0, 15, -1229.10, -16.9
15, 1.3, 15, 129.9, 242.2
15, 2.7, 15, -86.6, 328.6
15, 4.0, 15, 1999.9, -1020.0
15, 6.7, 15, 192.9, -292.0
15, 8.0, 15, -1181.8, 1508.8
15, 10.7, 15, 177.7, -1139.8
15, 13.3, 15, 1321.3, -1290.5
15, 13.3, 15, -1108.1, 843.7
15, 14.7, 15, -42.5, -1037.4
15, 16.0, 15, 1300.8, 163.1
15, 17.3, 15, -645.0, -1035.8
15, 17.3, 15, 1026.9, 541.5
15, 18.7, 15, 1999.9, -583.0
15, 17.3, 15, 1840.3, 1999.9
15, 17.3, 15, -1999.0, 1999.9
15, 20.0, 15, 1428.7, 1203.6
15, 21.3, 15, 1999.9, 1584.5
15, 20.0, 15, -429.8, -80.4
15, 18.7, 15, 981.4, -589.2
15, 18.7, 15, 1999.9, -1297.1
15, 18.7, 15, 758.3, 330.6
15, 21.3, 15, 344.7, -1685.5
